City;Rent_monthly_pounds;Rent_yearly_pounds
München;619.2;7430.4
Berlin;550.4;6604.8
Garching;524.6;6295.2
Ismaning;524.6;6295.2
Frankfurt am Main;498.8;5985.6
Hamburg;490.2;5882.4
Köln;473;5676
Stuttgart;464.4;5572.8
Freiburg;447.2;5366.4
Düsseldorf;442.9;5314.8
Bonn;430;5160
Konstanz;430;5160
Tübingen;426.99;5123.88
Potsdam;421.4;5056.8
Ludwigsburg;417.96;5015.52
Heidelberg;417.1;5005.2
Mainz;417.1;5005.2
Mannheim;404.2;4850.4
Wiesbaden;404.2;4850.4
Ingolstadt;399.9;4798.8
Esslingen;392.16;4705.92
Erlangen;387;4644
Reutlingen;387;4644
Rosenheim;387;4644
Darmstadt;382.7;4592.4
Augsburg;378.4;4540.8
Heilbronn;378.4;4540.8
Karlsruhe;378.4;4540.8
Münster;378.4;4540.8
Regensburg;378.4;4540.8
Ravensburg;369.8;4437.6
Ulm;369.8;4437.6
Lüneburg;365.5;4386
Nürnberg;365.5;4386
Passau;365.5;4386
Rheinbach;362.92;4355.04
Sankt Augustin;362.92;4355.04
Bremen;361.2;4334.4
Aachen;352.6;4231.2
Hannover;352.6;4231.2
Idstein;352.6;4231.2
Lübeck;352.6;4231.2
Oestrich-Winkel;352.6;4231.2
Gummersbach;350.88;4210.56
Deggendorf;348.3;4179.6
Bamberg;344;4128
Freising;344;4128
Pforzheim;344;4128
Würzburg;344;4128
Soest;339.7;4076.4
Koblenz;335.4;4024.8
Saarbrücken;335.4;4024.8
Wuppertal;335.4;4024.8
Fulda;334.54;4014.48
Trier;334.54;4014.48
Essen;331.96;3983.52
Dortmund;326.8;3921.6
Gießen;326.8;3921.6
Göttingen;326.8;3921.6
Kiel;326.8;3921.6
Oldenburg;326.8;3921.6
Aalen;323.36;3880.32
Schwäbisch Gmünd;323.36;3880.32
Duisburg;322.5;3870
Bayreuth;318.2;3818.4
Flensburg;318.2;3818.4
Kempten;318.2;3818.4
Landau in der Pfalz;318.2;3818.4
Braunschweig;317.34;3808.08
Kassel;313.9;3766.8
Leipzig;313.9;3766.8
Kaiserslautern;310.46;3725.52
Marburg;309.6;3715.2
Detmold;307.88;3694.56
Lemgo;307.88;3694.56
Osnabrück;305.3;3663.6
Erfurt;302.72;3632.64
Bochum;301;3612
Friedberg;301;3612
Krefeld;301;3612
Mönchengladbach;301;3612
Rostock;301;3612
Dresden;296.7;3560.4
Bielefeld;292.4;3508.8
Coburg;292.4;3508.8
Furtwangen im Schwarzwald;292.4;3508.8
Villingen-Schwenningen;292.4;3508.8
Wolfenbüttel;291.54;3498.48
Paderborn;283.8;3405.6
Magdeburg;282.08;3384.96
Siegen;279.5;3354
Halle;275.2;3302.4
Wismar;269.18;3230.16
Hildesheim;267.46;3209.52
Cottbus;258;3096
Frankfurt an der Oder;240.8;2889.6
Greifswald;240.8;2889.6
Jena;235.64;2827.68
Freiberg;226.61;2719.32
Mittweida;226.61;2719.32
Chemnitz;217.58;2610.96
Ilmenau;217.58;2610.96